Review	Liked	Age	Gender
Wow... Loved this place.	1	39	M
Crust is not good.	0	28	M
Not tasty and the texture was just nasty.	0	28	F
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.	1	32	M
The selection on the menu was great and so were the prices.	1	59	M
Now I am getting angry and I want my damn pho.	0	52	M
Honeslty it didn't taste THAT fresh.)	0	23	M
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0	27	M
The fries were great too.	1	53	F
A great touch.	1	28	M
Service was very prompt.	1	59	M
Would not go back.	0	36	F
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	0	54	M
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!"	1	59	F
I was disgusted because I was pretty sure that was human hair.	0	47	M
I was shocked because no signs indicate cash only.	0	21	F
Highly recommended.	1	31	M
Waitress was a little slow in service.	0	32	F
"This place is not worth your time, let alone Vegas."	0	24	F
did not like at all.	0	51	F
The Burrittos Blah!	0	35	F
"The food, amazing."	1	45	M
Service is also cute.	1	38	F
I could care less... The interior is just beautiful.	1	52	F
So they performed.	1	24	M
That's right....the red velvet cake.....ohhh this stuff is so good.	1	20	F
#NAME?	0	54	F
"This hole in the wall has great Mexican street tacos, and friendly staff."	1	38	F
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed."	0	20	M
The worst was the salmon sashimi.	0	48	M
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal."	1	30	M
This was like the final blow!	0	53	M
I found this place by accident and I could not be happier.	1	52	F
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere."	0	54	M
"Overall, I like this place a lot."	1	31	M
The only redeeming quality of the restaurant was that it was very inexpensive.	1	53	F
Ample portions and good prices.	1	57	M
"Poor service, the waiter made me feel like I was stupid every time he came to the table."	0	40	F
My first visit to Hiro was a delight!	1	53	F
Service sucks.	0	29	M
The shrimp tender and moist.	1	32	F
There is not a deal good enough that would drag me into that establishment again.	0	28	F
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	0	59	M
"On a positive note, our server was very attentive and provided great service."	1	38	M
"Frozen pucks of disgust, with some of the worst people behind the register."	0	60	F
The only thing I did like was the prime rib and dessert section.	1	40	F
It's too bad the food is so damn generic.	0	29	M
"The burger is good beef, cooked just right."	1	21	M
If you want a sandwich just go to any Firehouse!!!!!	1	24	M
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing."	1	38	F
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	1	54	M
He came running after us when he realized my husband had left his sunglasses on the table.	1	36	M
Their chow mein is so good!	1	40	F
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food."	0	25	F
The portion was huge!	1	51	F
"Loved it...friendly servers, great food, wonderful and imaginative menu."	1	33	M
